DVD_Title|Studio|Released|Price|Rating|Year|Genre|DVD_ReleaseDate|ID
Clue (1985/ Warner Brothers)|Warner Brothers||5.97|PG|1985|Comedy|2013-01-08 00:00:00|239041
Clue (1985/ Warner Brothers/ Blu-ray)|Warner Brothers||14.98|PG|1985|Comedy|2013-01-01 00:00:00|272637
Clue (2011)|Shout! Factory||12.99|PG|2011|Mystery/Suspense|2014-07-15 00:00:00|263919
Clue Club: The Complete Series (On Demand DVD-R)|Warner Brothers Digital Dist.||24.99|NR|1976|Animation|2015-08-11 00:00:00|282686
Clueless (Paramount)|Paramount||19.99|PG-13|1995|Comedy|1999-10-19 00:00:00|1285
Clueless (Paramount/ Blu-ray)|Paramount||22.99|PG-13|1995|Comedy|2012-05-01 00:00:00|223564
Clueless (Paramount/ Blu-ray/ Checkpoint)|Paramount||22.99|PG-13|1995|Comedy|2012-05-01 00:00:00|223498
Clueless (Paramount/ Checkpoint)|Paramount||19.99|PG-13|1995|Comedy|1999-10-19 00:00:00|23674
Clueless (Paramount/ SensorMatic)|Paramount||14.99|PG-13|1995|Comedy|1999-10-19 00:00:00|23675
Clueless (Paramount/ Whatever! Edition w/ Footloose Movie Money)|Paramount||11.99|PG-13|1995|Comedy|2011-09-27 00:00:00|211691
Clueless (Paramount/ Whatever! Edition)|Paramount||14.99|PG-13|1995|Comedy|2005-08-30 00:00:00|66692
Clueless (Paramount/ Whatever! Edition/ Checkpoint)|Paramount||14.99|PG-13|1995|Comedy|2005-08-30 00:00:00|240418
Clueless (Warner Brothers/ Blu-ray)|Warner Brothers||14.97|PG-13|1995|Comedy|2013-01-08 00:00:00|239069
Clueless (Warner Brothers/ Whatever Edition)|Warner Brothers||5.97|PG-13|1995|Comedy|2013-01-08 00:00:00|239023
Clumping In Groups|Open University||99.95|NR|UNK|Special Interest|2009-09-22 00:00:00|168672
Clunkers|Green Apple Entertainment||24.98|NR|UNK|Comedy|2013-09-17 00:00:00|248150
Cluny: A Light In The Night|Films for the Humanities ...||149.95|NR|UNK|Special Interest|2007-05-15 00:00:00|207653
Cluny: A Light In The Night (Subtitled)|Films for the Humanities ...||169.95|NR|UNK|Special Interest|2007-05-22 00:00:00|208132
Cluster Analysis And Data Mining: An Introduction (Book w/ DVD)|Mercury Learning & Information||59.95|NR|2014|Special Interest|2014-08-30 00:00:00|273971
Cluster Edge: Collection 1|Sentai FilmWorks||49.98|MA13|2005|Anime|2012-09-11 00:00:00|230268
Cluster Edge: Collection 2|Sentai FilmWorks||49.98|MA13|2005|Anime|2012-11-20 00:00:00|232630
Cluster Training: The Fastest Way To Build Strength And Size|CustomFlix||39.95|NR|UNK|Special Interest|2004-01-01 00:00:00|90156
Clutch Cargo (Alpha Video), Vol. 1|Alpha Video||7.98|NR|1959|Animation|2008-01-29 00:00:00|130032
Clutch Cargo (Alpha Video), Vol. 1 - 4|Alpha Video||31.92|NR|1959|Animation|2015-09-01 00:00:00|283754
Clutch Cargo (Alpha Video), Vol. 2|Alpha Video||7.98|NR|1959|Animation|2012-01-17 00:00:00|221315
Clutch Cargo (Alpha Video), Vol. 3|Alpha Video||7.98|NR|1959|Animation|2014-11-24 00:00:00|273617
Clutch Cargo (Alpha Video), Vol. 4|Alpha Video||7.98|NR|1959|Animation|2014-12-30 00:00:00|274567
Clutch Cargo (BCI Eclipse / Brentwood): Season 1|BCI Eclipse / Brentwood||14.98|NR|1959|Animation|2005-03-22 00:00:00|59585
Clutch Cargo (BCI Eclipse / Brentwood): Season 2|BCI Eclipse / Brentwood||14.98|NR|1960|Animation|2005-03-22 00:00:00|59582
Clutch Cargo (East West), Vol. 6: Heads Out West|East West||24.95|NR|1959|Animation|2005-01-01 00:00:00|233861
Clutch Cargo (East West), Vol.5|East West||24.95|NR|1959|Animation|2005-01-01 00:00:00|233878
Clutch Cargo (VCI): Cartoon Collection, Vol. 1|VCI||14.99|NR|1959|Drama|2005-03-29 00:00:00|59558
Clutch Replacement|Educational Video Network||39.95|NR|UNK|Special Interest|2006-02-28 00:00:00|81360
Clutch: Full Fathom Five: Video Field Recordings 2007-2008|Weathermaker Music||19.95|NR|2008|Music|2008-11-11 00:00:00|146879
Clutch: Full Fathom Five: Video Field Recordings 2007-2008 (dist. by Hal Leonard)|Weathermaker Music||19.95|NR|2008|Music|2009-02-01 00:00:00|176682
Clutch: Live At The 9:30|Weathermaker Music||19.98|NR|UNK|Music|2010-05-11 00:00:00|180592
Clutching Hand (Serial)|Alpha Video||7.98|NR|1936|Action/Adventure|2004-11-23 00:00:00|51685
Clutural Diversity|Victory Multimedia||325|NR|UNK|Special Interest|2008-12-16 00:00:00|146845
Clyde Davenport: Shades Of Clyde|Spring Fed Records||20.98|NR|UNK|Music|2011-04-19 00:00:00|199009
Clyde Drexler: Glide|Delta Entertainment||29.95|NR|UNK|Sports|2003-02-11 00:00:00|25875
Clyde Stubblefield & John Jab'o Starks: Soul Of The Funky Drummers|Rittor Music||29.95|NR|UNK|Special Interest|2004-07-27 00:00:00|60071
Clyde The Glide (Book w/ DVD)|Sports Publishing||24.95|NR|2004|Special Interest|2004-08-31 00:00:00|201600
Clyne: The Violin: Amy Kauffman / Cornelius Dufallo (DVD/CD Combo)|VisionIntoArt||19.99|NR|UNK|Music|2015-02-10 00:00:00|275326
CMT Crossroads: Train And Martina McBride|Republic Records||9.98|NR|2011|Music|2011-07-12 00:00:00|208532
CNBC Titans: Herb Kelleher|Microcosm Publishing||169.95|NR|UNK|Special Interest|2012-03-27 00:00:00|225932
CNN DVD: Books 1 & 2 (4th Ed.)|Heinle||75.95|NR|2005|Special Interest|2005-04-07 00:00:00|205449
CNN Millennium 2000: Incredible Moments From The Celebration|Warner Brothers||14.98|NR|2000|Documentary|2000-01-11 00:00:00|1286
CNN Presents: Black In America|CNN||29.95|NR|2008|Documentary|2008-08-26 00:00:00|143401
Cnote: Wepa (DualDisc)|Madacy||7.98|NR|UNK|Music|2005-10-25 00:00:00|86177
Co Giup Viec Toi Yeu|Vina Distributor||19.99|NR|UNK|Foreign|2011-04-26 00:00:00|204585
Co Thi Truong Da Ta-nh|Vina Distributor||19.99|NR|UNK|Foreign|2011-04-26 00:00:00|204575
Co-Creating At Its Best: A Conversation Between Master Teachers (DVD-ROM)|Hay House||19.99|NR|2014|Special Interest|2014-12-02 00:00:00|269845
Co-Eds Exposed|CandidCam Video||19.95|UR|UNK|Late Night|2003-12-16 00:00:00|117514
Coach (1978)|Rhino||7.97|PG|1978|Comedy|2000-05-23 00:00:00|1287
Coach (1989): The 1st & 2nd Season|Universal||26.98|NR|VAR|TV Classics|2010-02-09 00:00:00|173962
Coach (1989): The 1st Season|Universal||26.98|NR|1989|TV Classics|2006-06-13 00:00:00|84181
Coach (1989): The 1st Season (Limited Edition)|Universal||26.98|NR|1989|TV Classics|2006-06-13 00:00:00|81809
Coach (1989): The 2nd Season|Universal||19.98|NR|1989|TV Classics|2007-05-15 00:00:00|106249
Coach (1989): The 3rd Season|Universal||19.98|NR|1990|TV Classics|2008-02-19 00:00:00|126275
Coach (1989): The 4th Season|Universal||19.98|NR|1991|TV Classics|2011-03-15 00:00:00|195050
Coach (2010/ Lions Gate)|Lions Gate||14.98|PG-13|2010|Comedy|2010-06-08 00:00:00|179117
Coach (2010/ Mongrel Media)|Mongrel Media||29.95|PG-13|2010|Comedy|2010-06-08 00:00:00|186947
Coach (UNK)|Films for the Humanities ...||129.95|NR|UNK|Special Interest|2010-07-28 00:00:00|187763
Coach Carter (Paramount/ Pan & Scan)|Paramount||12.99|PG-13|2005|Drama|2005-06-21 00:00:00|62972
Coach Carter (Paramount/ Pan & Scan/ Checkpoint)|Paramount||12.99|PG-13|2005|Drama|2005-06-21 00:00:00|63041
Coach Carter (Paramount/ Pan & Scan/ Temporary Price Reduction)|Paramount||7.98|PG-13|2005|Drama|2009-06-30 00:00:00|186662
Coach Carter (Paramount/ Widescreen)|Paramount||6.99|PG-13|2005|Drama|2005-06-21 00:00:00|62971
Coach Carter (Paramount/ Widescreen/ Blu-ray)|Paramount||22.99|PG-13|2005|Drama|2009-07-21 00:00:00|163228
